meshblock_id,census_id,full_time,not_in_the_labour_force,part_time,status_unidentifiable,total,total_stated,unemployed
1200402,1,60,69,18,0,159,156,9
1200500,1,42,57,15,3,123,120,6
1200600,1,42,30,15,3,93,90,3
1200700,1,54,33,21,3,120,114,9
1200800,1,27,39,12,0,96,96,21
1200900,1,54,48,18,6,132,126,6
1201000,1,57,45,12,0,126,123,9
1201100,1,60,63,24,6,168,165,12
1201200,1,60,21,18,3,108,105,6
1201300,1,18,12,6,3,45,42,6
1201400,1,24,30,9,6,72,66,3
1201500,1,24,18,9,0,57,57,3
1201601,1,15,138,6,3,165,159,0
1201604,1,60,51,27,0,153,153,12
1201605,1,33,42,15,0,105,102,12
1201606,1,51,39,24,0,126,126,9
1201700,1,39,42,12,0,102,105,9
1201800,1,27,15,12,3,57,54,6
1201900,1,27,21,9,6,63,57,3
1202000,1,27,30,9,0,66,66,6
1202100,1,21,36,3,0,69,69,6
1202200,1,36,21,9,3,69,66,0
1202300,1,78,78,30,6,207,201,15
1202405,1,57,60,30,0,162,159,15
1202406,1,60,51,27,6,156,153,12
1202407,1,60,63,33,3,168,165,12
1202408,1,18,12,3,0,39,39,6
1202409,1,24,60,3,3,90,90,6
1202410,1,0,27,0,0,27,27,0
1202411,1,27,21,12,0,63,63,3
1202412,1,9,18,6,0,39,39,3
1202413,1,12,18,6,0,42,39,6
1202414,1,21,30,3,0,51,51,0
1202415,1,18,9,9,0,36,39,0
1202500,1,57,129,15,0,213,210,12
1202600,1,0,0,0,0,0,0,0
1202700,1,0,0,0,0,6,0,0
1202800,1,0,0,0,0,3,0,0
1202901,1,9,3,3,0,18,18,0
1202902,1,18,24,6,3,48,48,3
1203000,1,39,51,12,0,108,105,6
1203100,1,0,0,0,0,0,0,0
1203203,1,36,21,12,9,84,75,9
1203204,1,21,27,12,6,69,66,6
1203205,1,39,12,3,3,66,63,6
1203206,1,0,0,0,0,9,6,0
1203207,1,9,24,3,6,39,36,0
1203300,1,0,0,0,0,9,9,0
1203400,1,0,0,0,0,0,0,0
1203500,1,0,0,0,0,9,6,0
1203600,1,12,3,3,3,27,24,3
1203700,1,0,0,0,0,0,0,0
1203800,1,0,0,0,0,0,0,0
1203900,1,0,0,0,0,6,0,0
