meshblock_id,census_year_id,not_further_defined,other_types,separate_houses,total,two_or_more_flats
0043907,1,3,0,39,45,0
0044003,1,0,3,36,42,0
0044004,1,3,0,39,42,0
0044005,1,0,0,36,39,3
0044006,1,6,0,21,30,0
0044007,1,0,0,0,6,0
0044008,1,3,0,12,18,3
0044101,1,0,0,0,0,0
0044102,1,18,0,63,87,9
0044201,1,3,0,15,18,0
0044202,1,0,0,0,3,0
0044301,1,6,3,27,36,0
0044302,1,0,0,0,0,0
0044402,1,0,0,0,3,0
0044403,1,0,0,27,30,0
0044404,1,6,0,63,72,6
0044405,1,3,0,30,30,0
0044406,1,3,3,54,57,3
0044501,1,3,0,63,72,3
0044503,1,0,0,6,9,0
0044504,1,3,0,33,33,3
0044505,1,0,0,21,24,0
0044506,1,0,0,0,3,0
0044507,1,0,0,18,18,0
0044508,1,3,0,12,15,0
0044602,1,6,0,39,48,6
0044603,1,0,0,15,15,0
0044604,1,0,0,0,0,0
0044605,1,0,0,18,18,3
0044606,1,0,0,12,12,0
0044607,1,0,0,0,0,0
0044608,1,0,0,0,3,0
0044609,1,0,0,0,6,0
0044610,1,0,0,6,9,0
0044611,1,0,0,0,0,0
0044701,1,0,0,30,30,0
0044702,1,9,0,39,51,6
0044703,1,0,0,0,0,0
0044801,1,0,0,42,45,3
0044803,1,0,0,18,21,0
0044804,1,0,0,24,27,0
0044805,1,0,0,12,12,3
0044806,1,0,0,15,18,3
0044807,1,3,0,15,18,0
0044808,1,0,0,15,21,6
0044901,1,0,0,18,21,0
0044902,1,0,0,0,9,0
0045000,1,3,0,24,27,3
0045100,1,0,0,15,18,3
0045200,1,3,0,15,18,3
0045300,1,0,0,18,21,0
0045400,1,3,0,12,15,0
0045500,1,0,0,6,6,0
0045600,1,6,0,6,12,0
0045700,1,0,0,0,6,0
0045800,1,0,0,12,15,0
0045901,1,0,0,12,12,0
0045902,1,0,0,9,12,0
0046001,1,0,0,6,9,0
0046002,1,0,0,9,9,0
0046100,1,0,0,12,15,3
0046200,1,0,0,9,9,0
0046300,1,0,0,12,12,3
0046400,1,3,0,15,18,0
0046500,1,0,0,0,6,0
0046600,1,0,0,0,3,0
0046700,1,6,0,12,21,3
0046801,1,0,0,9,9,0
0046802,1,0,0,9,12,3
0046901,1,0,0,0,6,0
0046902,1,0,0,0,6,0
0047001,1,0,0,0,0,0
0047002,1,0,0,9,9,0
0047100,1,0,0,0,3,0
0047200,1,0,0,0,6,0
0047301,1,0,0,15,15,0
0047302,1,0,0,0,3,0
0047400,1,0,0,9,6,0
0047500,1,3,0,6,9,0
0047601,1,0,0,0,3,0
0047602,1,0,0,0,3,0
0047603,1,0,0,15,18,0
0047701,1,3,0,12,15,0
0047702,1,0,0,0,0,0
0047801,1,3,0,6,9,3
0047802,1,0,0,0,3,0
0047901,1,0,0,18,21,0
0047902,1,0,0,0,0,0
0048001,1,3,0,12,18,0
0048003,1,0,0,0,0,0
0048004,1,0,0,9,12,0
0048101,1,0,9,3,9,0
0048102,1,0,0,0,6,0
0048201,1,0,0,0,0,0
0048203,1,15,0,6,24,0
0048204,1,6,3,33,45,0
0048205,1,0,0,0,3,0
0048301,1,0,0,0,0,0
0048303,1,3,0,27,30,0
0048304,1,3,0,21,24,0
