meshblock_id,census_year_id,full_and_part_time,full_time,not_stated,not_studying,part_time,total,total_stated
2972000,2,0,6,6,78,3,93,87
2972100,2,0,9,9,150,6,174,165
2972200,2,0,9,3,135,6,156,150
2972301,2,0,9,9,126,6,150,141
2972302,2,0,12,9,126,6,153,141
2972400,2,0,15,6,96,12,129,123
2972500,2,0,9,9,69,6,93,84
2972600,2,0,6,9,78,6,99,93
2972700,2,0,6,3,54,3,69,63
2972800,2,0,3,0,30,3,36,36
2972900,2,0,6,6,57,3,69,63
2973001,2,0,3,6,33,3,45,39
2973002,2,0,6,12,48,3,75,63
2973101,2,0,3,0,18,0,21,21
2973102,2,0,0,9,30,0,42,33
2973103,2,0,6,0,45,0,57,54
2973104,2,0,6,0,54,3,60,57
2973200,2,0,3,18,63,3,87,72
2973300,2,0,3,9,33,0,45,36
2973400,2,0,6,3,63,3,78,75
2973500,2,0,6,6,45,3,60,57
2973600,2,0,0,3,48,9,54,54
2973700,2,0,6,9,96,3,114,105
2973801,2,0,6,3,96,9,114,114
2973802,2,0,6,9,63,6,78,72
2973900,2,0,9,12,117,6,144,135
2974000,2,0,3,0,36,0,39,39
2974100,2,0,3,3,21,0,24,24
2974200,2,0,3,3,39,3,42,42
2974300,2,0,0,0,24,3,27,24
2974400,2,0,3,3,21,0,27,21
2974500,2,0,3,6,48,0,60,57
2974600,2,0,0,3,27,0,30,30
2974701,2,0,3,0,60,0,60,60
2974702,2,0,0,3,27,3,33,30
2974800,2,0,0,3,9,0,12,9
2974900,2,0,0,0,6,0,9,9
2975000,2,0,6,0,27,3,36,36
2975100,2,0,6,3,54,0,63,60
2975200,2,0,3,3,54,3,63,60
2975300,2,0,3,3,30,0,36,33
2975400,2,0,3,3,48,0,54,51
2975500,2,0,3,6,39,3,51,48
2975600,2,0,3,6,45,3,60,51
2975700,2,0,3,6,45,3,57,51
2975800,2,0,3,9,66,0,78,69
2975900,2,0,0,0,0,0,3,0
2976000,2,0,0,0,9,3,12,9
2976101,2,0,6,6,81,6,99,93
2976102,2,0,3,6,21,0,30,24
2976200,2,0,3,9,33,3,45,39
2976301,2,0,6,15,93,3,117,102
2976302,2,0,0,3,18,0,18,18
2976401,2,0,0,0,0,0,3,0
2976402,2,0,0,0,0,0,3,0
