meshblock_id,census_year_id,household,looking_after_child_not_own_household,looking_after_child_own_household,looking_after_not_own_household_member_who_is_ill_or_disable,looking_after_own_household_member_who_is_ill_or_disabled,none,not_elsewhere_included,total,total_stated,voluntary
1258401,2,0,0,0,0,0,0,0,0,0,0
1258402,2,0,0,0,0,0,0,0,0,0,0
1258403,2,0,0,0,0,0,0,0,0,0,0
1258501,2,75,18,36,15,6,3,6,81,75,27
1258503,2,60,9,21,0,3,3,0,63,63,12
1258504,2,57,9,12,6,0,6,3,66,63,12
1258505,2,33,6,6,3,0,3,0,39,39,6
1258506,2,39,9,12,6,0,3,6,48,42,12
1258601,2,75,18,45,3,6,6,3,81,81,15
1258602,2,51,3,18,6,0,0,6,57,54,9
1258603,2,18,3,6,0,3,6,3,30,24,3
1258604,2,33,3,6,0,6,3,3,39,39,12
1258702,2,0,0,0,0,0,0,0,0,0,0
1258703,2,42,6,12,3,0,6,3,51,48,6
1258704,2,18,6,3,6,0,0,0,24,18,3
1258705,2,36,6,18,6,3,0,0,36,36,6
1258706,2,12,0,9,0,0,3,6,18,15,3
1258707,2,18,3,3,0,0,3,3,24,24,3
1258708,2,9,0,0,0,0,0,0,9,6,0
1258800,2,24,3,3,6,0,0,3,27,27,3
1258901,2,0,0,0,0,0,0,0,0,0,0
1258902,2,57,9,18,3,0,6,3,66,66,12
1258903,2,0,0,0,0,0,0,0,0,0,0
1259000,2,42,12,30,6,0,3,9,57,51,9
1259101,2,27,6,9,0,3,3,9,42,33,6
1259104,2,12,0,6,0,0,0,0,15,12,0
1259105,2,12,0,0,0,0,0,0,18,15,0
1259106,2,0,0,0,0,0,0,0,6,0,0
1259200,2,117,24,51,15,6,6,9,132,126,24
1259300,2,15,3,6,0,0,3,0,21,21,6
1259401,2,0,0,0,0,0,0,0,0,0,0
1259402,2,24,3,12,3,0,3,3,30,30,9
1259500,2,0,0,0,0,0,0,0,0,0,0
1259600,2,6,0,0,0,0,0,0,15,9,0
1259700,2,36,6,18,6,6,3,12,54,45,12
1259800,2,48,15,30,9,9,3,9,63,51,12
1259900,2,42,9,24,6,12,6,15,66,51,12
1260000,2,45,9,21,3,6,3,9,60,51,15
1260100,2,36,9,21,9,6,6,3,51,48,12
1260201,2,12,3,12,3,0,0,3,18,18,6
1260202,2,0,0,0,0,0,0,0,0,0,0
1260301,2,9,0,6,0,0,3,3,18,15,0
1260302,2,18,3,9,3,0,0,6,21,15,3
1260401,2,57,12,30,3,6,6,0,66,66,9
1260402,2,30,9,12,3,3,6,0,36,36,0
1260500,2,27,6,21,3,3,6,6,39,33,6
1260600,2,39,9,18,6,3,9,0,48,48,12
1260700,2,42,6,15,3,3,3,6,54,45,9
1260800,2,39,9,18,3,3,3,6,45,39,9
1260900,2,27,6,15,3,9,0,3,33,30,9
1261001,2,15,3,6,3,0,0,3,21,18,6
1261002,2,42,3,24,3,3,3,6,57,51,9
1261100,2,114,42,54,12,12,9,9,135,126,30
1261200,2,42,15,21,3,0,3,6,57,48,21
1261300,2,27,6,15,3,0,0,0,30,27,6
1261400,2,54,9,33,3,9,6,6,66,57,9
1261500,2,105,21,51,3,9,9,12,132,120,27
1261601,2,129,33,66,12,3,12,6,144,138,18
1261602,2,72,18,30,12,6,6,3,84,81,12
1261603,2,36,6,18,3,6,3,0,42,39,3
1261604,2,72,9,24,9,6,6,9,81,78,6
