meshblock_id,census_year_id,females,males,total
56300,1,39,36,75
56400,1,69,78,147
56500,1,6,9,15
56600,1,18,15,33
56700,1,9,3,12
56800,1,6,9,12
56900,1,18,18,36
57000,1,96,93,189
57100,1,57,57,114
57201,1,90,75,165
57202,1,3,3,6
57300,1,9,6,18
57400,1,33,24,57
57500,1,75,60,138
57600,1,42,42,81
57700,1,102,81,180
57800,1,45,39,87
57900,1,6,12,18
58000,1,12,15,27
58100,1,72,60,132
58200,1,54,54,108
58300,1,24,30,54
58400,1,33,42,75
58500,1,63,48,111
58600,1,33,27,60
58700,1,63,57,117
58800,1,66,66,132
58901,1,12,18,27
58902,1,0,0,3
59000,1,3,3,9
59100,1,15,6,21
59200,1,0,0,0
59301,1,69,78,144
59302,1,0,0,3
59400,1,27,36,63
59500,1,12,15,30
59600,1,54,66,123
59700,1,102,90,192
59800,1,18,21,39
59900,1,0,0,0
60000,1,9,12,21
60100,1,30,36,63
60200,1,21,30,51
60300,1,42,51,90
60400,1,21,21,39
60500,1,18,27,45
60600,1,57,63,117
60700,1,63,84,147
60800,1,48,45,96
60900,1,39,39,75
61000,1,54,66,120
61100,1,0,0,0
61200,1,30,36,66
61300,1,9,9,18
61400,1,0,0,0
61501,1,0,0,0
61502,1,30,30,63
61600,1,18,18,33
61700,1,60,54,117
61801,1,30,39,69
61802,1,42,27,72
61803,1,93,87,180
61804,1,33,30,60
61805,1,108,90,198
61806,1,57,66,123
61807,1,141,114,255
61808,1,69,51,120
61901,1,75,87,162
61902,1,45,42,84
61904,1,45,45,87
61905,1,33,39,72
62001,1,0,0,0
62002,1,78,72,153
62102,1,42,45,84
62105,1,36,30,66
62106,1,6,6,12
62107,1,45,45,90
62108,1,57,51,111
62109,1,66,69,135
62110,1,75,60,132
62202,1,57,60,120
62203,1,36,39,75
62204,1,27,36,63
62205,1,45,42,87
62206,1,33,30,63
62301,1,18,15,33
62303,1,27,27,51
62304,1,0,0,0
62401,1,15,21,39
62402,1,96,102,198
62501,1,27,24,51
62502,1,33,33,66
62503,1,0,0,3
62504,1,27,24,54
62505,1,15,15,30
62506,1,39,42,81
62507,1,15,12,27
62600,1,69,87,156
62702,1,9,12,18
62703,1,96,93,192
62704,1,0,0,0
62705,1,3,3,6
62800,1,72,78,150
62900,1,120,117,240
63000,1,135,141,276
63100,1,93,81,174
63200,1,87,84,168
63300,1,0,0,0
63400,1,123,114,237
63500,1,75,93,165
63600,1,54,51,105
63701,1,24,33,57
63703,1,30,36,66
63704,1,54,57,108
63705,1,57,57,114
63801,1,42,54,96
63803,1,48,45,96
63804,1,69,87,153
63805,1,36,18,57
63900,1,87,96,183
64000,1,30,30,57
64100,1,6,6,15
64200,1,21,21,42
64300,1,78,72,147
64401,1,24,36,57
64402,1,3,3,6
64501,1,18,18,36
64503,1,9,9,21
64504,1,9,9,18
64600,1,84,66,147
64700,1,93,84,177
64800,1,24,24,51
64900,1,9,9,21
65000,1,12,12,24
65101,1,0,0,0
65102,1,3,3,6
65200,1,66,66,135
65300,1,18,24,42
65400,1,33,30,60
65500,1,27,21,48
65600,1,84,84,168
65700,1,18,24,42
65800,1,21,24,48
65900,1,3,6,9
66000,1,0,3,6
66100,1,21,27,45
66200,1,15,12,27
66300,1,48,48,93
66400,1,18,12,33
66500,1,21,27,51
66600,1,30,33,63
66700,1,6,9,15
66800,1,27,24,48
66900,1,15,15,30
67000,1,0,0,0
67100,1,0,0,0
67200,1,0,0,0
67300,1,18,21,39
67400,1,30,48,78
67500,1,15,18,33
67600,1,24,24,51
67700,1,12,6,18
67800,1,60,60,120
67900,1,30,36,63
68000,1,0,0,0
68100,1,0,0,3
68200,1,36,39,75
68300,1,15,15,27
68400,1,60,63,123
68500,1,36,45,84
68600,1,45,48,96
68700,1,48,54,105
68801,1,96,123,219
68802,1,72,78,150
68900,1,57,69,126
69000,1,63,63,123
69100,1,69,81,147
69201,1,51,57,108
69202,1,6,15,18
69300,1,108,117,222
69402,1,6,3,9
69403,1,15,15,30
69404,1,9,12,18
69500,1,69,90,156
69603,1,72,66,138
69604,1,0,0,0
69606,1,6,9,12
69607,1,42,33,72
69608,1,18,18,36
69609,1,57,42,102
69700,1,45,48,93
69800,1,15,12,27
69900,1,81,81,165
70001,1,12,21,33
70002,1,33,39,72
70003,1,30,36,66
70100,1,45,42,87
70201,1,6,9,15
70202,1,0,0,0
70203,1,93,90,186
70205,1,27,24,48
70206,1,24,21,45
70207,1,30,24,57
70208,1,36,33,69
70209,1,42,30,72
70300,1,108,111,222
70400,1,54,45,99
70501,1,21,15,33
70502,1,15,12,27
70503,1,6,6,12
70504,1,33,15,48
70505,1,3,3,9
70506,1,27,24,51
70600,1,0,0,0
70700,1,57,60,117
70801,1,42,39,78
70802,1,18,27,45
70903,1,15,21,39
70904,1,72,72,144
70905,1,9,12,18
70906,1,18,21,42
70907,1,6,3,9
71001,1,0,0,6
71002,1,33,39,72
71003,1,42,39,81
71004,1,30,30,57
71005,1,33,36,69
71006,1,6,12,18
71007,1,0,0,0
71100,1,87,81,168
71200,1,51,45,96
71301,1,123,123,243
71302,1,3,6,9
71400,1,66,63,129
71500,1,60,54,111
71600,1,63,63,126
71701,1,0,0,0
71702,1,105,102,207
71800,1,90,90,180
71901,1,3,6,9
71902,1,33,33,66
72000,1,99,105,204
72101,1,6,6,12
72102,1,45,39,84
72200,1,57,72,126
72300,1,51,45,96
72401,1,9,9,18
72402,1,6,6,12
72403,1,27,33,60
72404,1,0,0,0
72501,1,0,0,0
72502,1,15,21,36
72601,1,66,75,138
72603,1,0,0,6
72604,1,24,12,36
72605,1,27,33,57
72606,1,27,33,60
72607,1,21,30,51
72702,1,48,48,99
72703,1,24,36,60
72704,1,54,51,105
72705,1,12,12,24
72706,1,0,6,6
