meshblock_id,census_year_id,employer,not_elsewhere_included,paid_employee,self_employed_without_employee,total,total_stated,unpaid_family_worker
44608,1,0,0,0,0,6,6,0
44609,1,0,0,0,0,3,0,0
44610,1,0,0,6,3,12,12,0
44611,1,0,0,0,0,0,0,0
44701,1,6,3,21,12,39,39,0
44702,1,9,3,42,21,78,75,0
44703,1,0,0,0,0,6,0,0
44801,1,12,0,33,24,66,66,0
44803,1,3,0,12,0,21,21,0
44804,1,0,0,15,9,27,27,0
44805,1,3,0,6,3,12,12,0
44806,1,3,0,12,3,21,18,0
44807,1,6,3,21,3,27,27,0
44808,1,0,0,15,6,21,24,3
44901,1,3,3,12,15,30,30,3
44902,1,0,0,6,3,9,9,0
45000,1,6,3,12,6,30,30,6
45100,1,3,0,9,15,27,30,3
45200,1,3,0,9,6,21,24,3
45300,1,6,3,9,3,27,24,3
45400,1,0,0,6,6,18,15,3
45500,1,3,0,6,3,9,9,0
45600,1,0,0,0,0,6,6,0
45700,1,0,0,0,0,9,6,0
45800,1,3,0,12,3,27,27,6
45901,1,0,3,9,6,15,15,0
45902,1,0,0,3,6,15,12,3
46001,1,3,0,6,3,12,12,0
46002,1,3,0,6,3,12,12,3
46100,1,3,3,3,3,18,18,3
46200,1,3,0,6,0,9,12,0
46300,1,0,0,9,6,15,12,0
46400,1,0,3,12,3,21,18,0
46500,1,0,0,0,0,6,0,0
46600,1,0,0,9,0,9,9,0
46700,1,0,0,6,6,12,12,0
46801,1,0,0,0,0,6,6,0
46802,1,0,0,0,0,6,0,0
46901,1,0,0,0,0,3,0,0
46902,1,0,0,0,0,0,0,0
47001,1,0,0,0,0,0,0,0
47002,1,0,0,0,0,3,0,0
47100,1,0,0,0,0,0,0,0
47200,1,0,0,0,0,3,0,0
47301,1,0,0,15,0,18,18,3
47302,1,0,0,0,0,6,6,0
47400,1,0,0,0,0,6,6,0
47500,1,0,0,0,0,9,9,0
47601,1,0,0,0,0,3,0,0
47602,1,0,0,0,0,6,0,0
47603,1,0,3,15,3,18,15,0
47701,1,0,3,6,6,12,9,3
47702,1,0,0,0,0,3,0,0
47801,1,3,0,9,6,18,18,0
47802,1,0,0,0,0,3,0,0
47901,1,3,0,21,6,33,33,0
47902,1,0,0,0,0,0,0,0
48001,1,6,0,21,6,36,36,3
48003,1,0,0,0,0,0,0,0
48004,1,0,0,6,6,15,12,0
48101,1,0,0,0,0,3,0,0
48102,1,0,0,0,0,6,0,0
48201,1,0,0,0,0,0,0,0
48203,1,0,3,15,3,21,15,3
48204,1,0,3,18,3,27,27,3
48205,1,0,0,0,0,0,0,0
48301,1,0,0,0,0,0,0,0
48303,1,3,0,15,6,24,24,3
48304,1,3,0,0,9,15,15,0
48403,1,0,0,0,0,0,0,0
48404,1,6,3,21,21,54,51,3
48405,1,0,0,0,0,0,0,0
48406,1,0,0,0,0,0,0,0
48407,1,0,0,0,0,3,0,0
48408,1,9,0,12,18,42,42,3
48409,1,15,0,18,15,57,57,3
48410,1,0,0,24,12,45,42,3
48500,1,0,0,6,0,9,6,0
48601,1,0,0,0,0,0,0,0
48602,1,0,0,0,0,3,0,0
48701,1,0,0,0,0,0,0,0
48702,1,3,3,9,12,30,30,0
48800,1,0,0,9,0,9,9,0
48900,1,0,0,9,0,9,12,0
49000,1,0,3,18,0,24,21,3
49102,1,0,0,9,0,9,12,0
49103,1,0,0,0,0,0,0,0
49104,1,0,0,0,0,3,0,0
49105,1,0,0,0,0,0,0,0
49203,1,0,0,0,0,0,0,0
49204,1,12,3,36,24,78,75,6
49205,1,0,0,0,0,0,0,0
49206,1,3,3,30,9,48,42,3
49302,1,12,0,36,18,66,66,0
49303,1,0,0,6,0,6,9,0
49304,1,3,0,9,6,21,21,3
49305,1,0,0,0,0,6,0,0
49306,1,3,0,18,6,27,27,0
49307,1,3,0,15,3,21,18,0
49401,1,12,0,33,24,72,69,3
49403,1,0,0,0,0,6,0,0
49404,1,0,0,0,0,0,0,0
49405,1,6,0,33,6,48,45,0
49406,1,0,0,21,3,21,21,0
49407,1,3,0,21,3,27,27,0
49501,1,0,0,0,0,0,0,0
49502,1,0,0,0,0,0,0,0
49503,1,0,0,0,0,0,0,0
49504,1,6,0,15,6,27,24,0
