meshblock_id,census_year_id,do_not_own,not_elsewhere_included,own_or_partly_own,total_people,total_stated
51300,1,36,18,66,123,102
51401,1,24,9,57,87,78
51402,1,3,6,6,15,9
51403,1,15,6,30,54,45
51405,1,0,0,0,0,0
51406,1,30,9,75,111,105
51407,1,24,3,39,66,63
51408,1,30,6,54,90,81
51409,1,21,6,39,63,57
51501,1,6,6,27,39,33
51502,1,12,3,18,27,27
51504,1,0,0,0,3,0
51505,1,3,36,12,51,15
51506,1,3,0,15,18,18
51507,1,6,3,15,24,18
51508,1,0,0,0,0,0
51601,1,12,9,33,51,45
51602,1,0,0,0,0,0
51700,1,9,3,18,33,30
51800,1,9,0,18,27,27
51900,1,3,0,9,9,9
52001,1,6,3,12,27,21
52002,1,6,3,12,18,18
52100,1,6,6,15,27,21
52200,1,0,0,0,0,0
52300,1,21,9,36,66,57
52400,1,3,0,6,6,6
52501,1,9,0,3,12,12
52502,1,9,3,3,15,12
52600,1,0,0,0,0,0
52700,1,24,6,21,54,48
52800,1,24,0,12,39,36
52902,1,18,3,48,66,63
52903,1,18,0,24,45,42
52904,1,6,0,36,45,45
52905,1,9,6,21,33,30
52906,1,12,0,36,51,48
52907,1,6,3,30,42,39
53001,1,21,6,63,90,84
53002,1,18,3,39,60,57
53003,1,12,0,45,63,60
53004,1,30,12,30,69,57
53005,1,24,0,36,66,63
53101,1,18,0,54,72,69
53102,1,9,0,15,21,21
53200,1,48,3,39,87,84
53301,1,18,9,21,48,42
53303,1,30,3,21,54,51
53304,1,57,18,51,126,108
53305,1,42,9,30,81,69
53403,1,33,6,66,102,99
53404,1,54,3,66,126,120
53405,1,27,3,27,57,54
53406,1,72,12,57,141,129
53407,1,36,3,75,114,114
53408,1,15,0,15,27,27
53502,1,12,3,9,24,21
53503,1,15,3,12,27,27
53504,1,15,3,12,33,30
53505,1,6,0,15,24,21
53506,1,18,3,24,42,36
53507,1,0,0,0,0,0
53508,1,3,3,12,15,15
53509,1,9,3,33,42,39
53600,1,0,0,0,3,0
53700,1,36,18,21,75,57
53800,1,15,12,6,33,18
53900,1,39,12,30,81,69
54000,1,45,15,33,90,75
54100,1,3,0,9,12,12
54200,1,81,42,57,180,135
54300,1,12,9,9,30,18
54400,1,66,30,54,153,120
54501,1,33,42,51,126,81
54502,1,15,33,12,60,27
54600,1,33,27,15,78,48
54700,1,30,18,36,84,66
54801,1,27,12,54,93,78
54802,1,42,15,72,129,111
54900,1,18,12,18,48,36
55000,1,15,3,18,36,33
55100,1,12,3,18,30,30
55200,1,42,3,27,72,66
55300,1,30,6,24,57,54
55400,1,27,3,15,42,39
55500,1,15,6,21,42,33
55600,1,30,3,27,60,57
55700,1,12,6,24,42,39
55801,1,27,3,24,54,48
55802,1,21,6,18,39,36
55900,1,48,18,27,93,75
56001,1,15,6,6,30,21
56002,1,15,3,15,30,27
56100,1,30,9,30,66,57
56200,1,6,9,3,18,9
56300,1,6,9,48,66,57
56400,1,48,15,57,123,108
56500,1,6,3,6,15,12
56600,1,9,9,9,24,18
56700,1,6,0,3,9,9
56800,1,6,3,0,12,9
56900,1,6,6,21,30,27
57000,1,57,12,84,153,144
57100,1,42,15,33,90,75
57201,1,45,18,78,141,123
57202,1,0,0,0,6,0
57300,1,9,0,6,15,12
57400,1,24,12,15,48,39
57500,1,39,12,36,93,75
57600,1,24,9,33,66,57
57700,1,60,9,60,126,117
57800,1,33,3,30,63,60
57900,1,6,3,9,15,12
58000,1,12,3,6,21,18
58100,1,30,21,36,87,66
58200,1,36,12,21,72,60
58300,1,18,3,15,36,33
58400,1,30,6,18,54,48
58500,1,33,18,27,78,60
58600,1,18,9,12,42,33
58700,1,30,12,39,81,72
58800,1,45,18,24,84,69
58901,1,3,9,15,24,18
58902,1,0,0,0,3,0
59000,1,0,0,0,6,6
59100,1,0,6,9,15,12
59200,1,0,0,0,0,0
59301,1,30,27,63,120,90
59302,1,0,0,0,3,0
59400,1,15,24,15,54,30
59500,1,9,6,9,24,18
59600,1,30,15,42,84,69
59700,1,48,45,63,153,111
59800,1,12,3,21,36,36
59900,1,0,0,0,0,0
60000,1,6,3,6,12,12
60100,1,24,3,12,39,36
60200,1,18,6,9,33,27
60300,1,21,12,36,66,57
60400,1,18,3,6,30,24
60500,1,12,9,15,36,24
60600,1,18,9,51,78,69
60700,1,45,3,54,102,99
