meshblock_id,census_year_id,couple_with_children,couple_without_children,one_parent,total
53505,1,0,0,0,6
53506,1,3,9,3,15
53507,1,0,0,0,0
53508,1,0,0,0,6
53509,1,0,12,0,12
53600,1,0,0,0,0
53700,1,9,3,12,24
53800,1,3,3,6,9
53900,1,6,12,6,24
54000,1,3,18,0,21
54100,1,0,0,0,3
54200,1,6,21,3,33
54300,1,0,0,0,0
54400,1,15,30,9,51
54501,1,9,24,0,30
54502,1,3,6,0,9
54600,1,3,9,0,15
54700,1,6,21,3,27
54801,1,6,21,0,27
54802,1,6,30,9,42
54900,1,9,3,3,12
55000,1,6,6,3,12
55100,1,6,6,3,15
55200,1,6,6,12,24
55300,1,6,6,9,24
55400,1,9,3,3,15
55500,1,6,0,9,12
55600,1,9,6,6,21
55700,1,6,3,9,15
55801,1,6,3,9,21
55802,1,9,0,0,12
55900,1,15,6,18,36
56001,1,6,0,3,12
56002,1,6,0,3,15
56100,1,12,6,9,24
56200,1,0,0,0,3
56300,1,3,15,0,18
56400,1,6,21,6,33
56500,1,0,0,0,6
56600,1,3,3,0,9
56700,1,0,0,0,3
56800,1,0,0,0,3
56900,1,3,9,3,12
57000,1,18,24,9,48
57100,1,12,12,3,30
57201,1,15,24,9,51
57202,1,0,0,0,0
57300,1,0,0,0,6
57400,1,3,6,3,12
57500,1,12,6,12,30
57600,1,6,6,9,21
57700,1,18,18,12,45
57800,1,9,6,9,18
57900,1,0,0,0,3
58000,1,0,0,0,6
58100,1,12,9,15,33
58200,1,9,6,9,21
58300,1,6,3,6,15
58400,1,12,6,6,21
58500,1,15,6,6,27
58600,1,6,3,3,12
58700,1,15,9,3,30
58800,1,18,6,9,30
58901,1,0,0,0,3
58902,1,0,0,0,0
59000,1,0,0,0,0
59100,1,0,0,0,6
59200,1,0,0,0,0
59301,1,6,18,9,39
59302,1,0,0,0,0
59400,1,6,6,0,9
59500,1,3,6,0,6
59600,1,12,9,9,30
59700,1,12,21,6,36
59800,1,6,3,0,9
59900,1,0,0,0,0
60000,1,0,0,0,3
60100,1,9,3,3,15
60200,1,9,3,3,12
60300,1,9,6,3,24
60400,1,9,0,3,12
60500,1,6,0,3,9
60600,1,21,9,0,27
60700,1,18,12,6,36
60800,1,12,6,3,24
60900,1,6,6,3,15
61000,1,12,12,9,33
61100,1,0,0,0,0
61200,1,6,6,3,18
61300,1,0,0,0,3
61400,1,0,0,0,0
61501,1,0,0,0,0
61502,1,6,12,0,18
61600,1,3,3,3,9
61700,1,18,12,3,33
61801,1,6,6,3,12
61802,1,0,18,3,21
61803,1,9,9,21,39
61804,1,6,3,6,15
61805,1,15,3,24,42
61806,1,6,6,18,27
61807,1,21,3,27,48
61808,1,12,6,9,27
61901,1,21,18,6,48
61902,1,12,9,3,24
61904,1,9,15,3,24
61905,1,12,9,3,24
62001,1,0,0,0,0
62002,1,18,15,6,42
62102,1,9,15,3,27
62105,1,6,12,3,18
62106,1,0,0,0,3
62107,1,9,12,6,27
62108,1,12,21,6,36
62109,1,9,27,6,42
62110,1,12,21,6,39
62202,1,9,30,3,42
62203,1,9,15,0,24
62204,1,6,12,3,21
62205,1,6,15,9,30
62206,1,6,9,0,18
62301,1,3,3,3,9
62303,1,3,12,0,18
62304,1,0,0,0,0
62401,1,6,9,0,12
62402,1,15,36,9,63
62501,1,6,6,3,15
62502,1,9,6,6,21
62503,1,0,0,0,0
62504,1,3,9,3,12
62505,1,3,3,3,6
62506,1,6,12,3,18
62507,1,6,0,0,9
62600,1,24,15,6,48
62702,1,0,0,0,3
62703,1,24,18,6,51
62704,1,0,0,0,0
62705,1,0,0,0,3
62800,1,21,18,3,42
62900,1,27,21,18,66
63000,1,27,21,27,72
63100,1,21,9,12,42
63200,1,18,12,12,42
63300,1,0,0,0,0
63400,1,24,21,15,63
63500,1,15,18,12,48
63600,1,15,6,3,21
63701,1,9,6,0,18
63703,1,9,3,0,12
63704,1,9,6,12,27
63705,1,15,3,9,27
63801,1,15,12,0,30
63803,1,9,12,6,27
63804,1,21,9,6,36
63805,1,0,0,0,6
63900,1,27,30,6,60
64000,1,9,9,3,18
64100,1,0,0,0,3
64200,1,9,0,0,9
64300,1,21,15,3,42
64401,1,12,0,3,15
64402,1,0,0,0,3
64501,1,3,6,3,9
64503,1,0,0,0,6
64504,1,0,0,0,3
64600,1,21,18,3,42
64700,1,24,18,6,48
64800,1,6,3,0,12
64900,1,0,0,0,3
65000,1,0,0,0,6
