meshblock_id,census_year_id,doctortates,level_five_or_six,level_four,level_one,level_seven,level_three,level_two,masters,no_qualification,not_elsewhere_included,overseas_secondary,postgraduate,total,total_stated
2448303,3,0,3,3,6,0,9,0,0,3,3,0,3,33,30
2448304,3,0,3,6,6,3,6,9,0,12,12,0,3,60,48
2448305,3,0,9,9,9,6,6,9,0,6,3,6,6,75,72
2448307,3,0,9,12,24,6,12,9,3,33,6,0,0,117,111
2448308,3,0,0,0,0,0,0,0,0,0,0,0,0,12,12
2448401,3,0,3,6,9,0,3,3,0,12,3,0,0,36,33
2448402,3,0,0,6,12,3,3,12,3,9,3,0,3,51,48
2448501,3,0,0,3,12,0,0,6,0,12,6,0,0,45,36
2448502,3,0,3,3,6,3,6,0,0,9,3,0,0,36,30
2448503,3,0,9,15,18,6,6,12,0,21,6,0,3,96,90
2448602,3,0,12,18,18,15,9,6,0,36,18,6,3,141,120
2448603,3,0,6,9,12,9,6,6,0,15,3,3,3,69,66
2448604,3,0,9,12,12,6,3,6,3,42,27,12,0,132,108
2448605,3,0,6,0,6,6,3,6,3,9,0,0,0,48,48
2448606,3,0,6,9,3,9,6,6,0,15,12,3,3,72,63
2448607,3,0,3,6,9,6,3,12,0,15,3,9,0,63,60
2448608,3,0,15,18,12,9,6,9,3,12,3,3,0,87,87
2448609,3,0,6,12,3,6,6,3,0,12,0,0,0,51,51
2448700,3,0,21,21,12,12,6,24,0,30,12,3,0,144,129
2448800,3,0,6,9,15,9,6,6,0,9,6,3,0,66,60
2448901,3,0,0,3,6,0,3,6,3,6,6,0,0,30,24
2448903,3,0,12,18,18,9,12,18,0,24,3,9,3,123,123
2448904,3,0,12,15,27,9,18,15,3,24,12,9,6,144,135
2448905,3,0,0,3,3,0,0,3,3,15,6,0,0,30,27
2449001,3,0,21,42,36,15,18,30,0,54,15,6,6,237,225
2449002,3,0,3,0,6,3,3,3,0,6,6,0,0,33,27
2449102,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9
2449103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2449104,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2449105,3,0,0,0,0,0,0,0,0,0,0,0,0,6,9
2449106,3,0,9,6,18,9,9,15,3,33,18,9,3,138,123
2449107,3,0,3,3,6,0,0,6,3,6,3,0,0,27,24
2449201,3,0,0,0,0,0,0,0,0,0,0,0,0,12,6
2449202,3,0,0,0,0,0,0,0,0,0,0,0,0,21,18
2449301,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2449302,3,0,0,0,0,0,0,0,0,0,6,0,0,18,15
2449401,3,3,3,3,12,3,3,3,0,12,6,0,0,45,39
2449402,3,0,6,9,12,9,9,9,3,3,3,3,3,63,60
2449403,3,0,6,9,12,3,6,6,0,15,3,3,6,69,66
2449501,3,0,6,9,9,9,6,15,0,15,9,3,0,81,75
2449502,3,0,3,6,9,6,3,6,0,6,3,0,0,45,45
2449503,3,0,3,6,6,3,3,3,0,9,0,0,0,33,33
2449504,3,0,0,0,0,0,0,0,0,6,0,0,0,21,21
2449600,3,0,15,21,27,21,9,21,6,27,3,3,3,159,153
2449700,3,0,12,6,15,6,6,6,0,15,6,3,0,81,72
2449800,3,3,30,30,45,45,27,51,9,45,21,12,12,333,309
2449900,3,0,0,3,9,0,0,6,0,12,6,0,0,39,33
2450001,3,0,9,30,30,9,6,12,0,45,21,6,3,177,153
2450005,3,0,6,6,6,3,6,15,0,15,3,3,0,69,66
2450006,3,0,18,12,24,6,3,15,3,9,12,9,6,114,102
2450007,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2450008,3,0,24,18,30,12,9,15,6,21,3,9,3,147,141
2450009,3,0,12,3,21,9,6,9,0,15,3,3,3,81,78
2450010,3,0,6,12,6,15,0,3,0,12,0,6,0,60,60
2450011,3,0,9,12,3,3,9,9,0,6,3,3,0,57,54
2450012,3,0,3,6,9,6,6,9,0,6,0,3,3,48,48
2450013,3,0,9,12,15,12,6,15,0,3,3,9,0,84,81
2450014,3,0,12,9,18,9,9,6,3,12,0,3,0,84,84
2450015,3,0,12,6,9,6,3,6,0,15,3,9,0,69,69
2450016,3,0,6,9,12,3,6,6,0,3,0,6,3,57,54
2450017,3,0,15,15,9,12,9,18,0,15,6,6,3,111,102
2450018,3,0,6,6,6,3,3,0,0,6,6,0,0,36,30
2450019,3,0,15,9,3,6,3,9,0,15,3,12,3,81,78
2450020,3,0,6,3,6,3,0,3,0,6,6,0,0,30,21
2450101,3,3,24,30,21,27,15,24,6,36,6,12,9,210,204
2450102,3,0,12,9,15,6,6,12,0,12,3,3,3,75,72
2450103,3,0,24,15,15,21,3,24,3,30,21,6,6,177,156
2450104,3,0,15,21,21,9,12,9,3,9,6,6,3,108,102
2450201,3,0,0,0,6,0,0,0,0,0,0,0,0,21,21
2450209,3,0,30,18,36,15,18,30,0,39,18,9,3,207,189
2450211,3,0,12,12,18,6,6,9,0,42,36,9,0,156,117
2450212,3,3,21,15,15,3,3,6,0,27,12,3,3,102,93
2450213,3,0,24,18,27,15,9,21,0,21,6,6,6,153,144
2450214,3,0,21,21,33,18,18,21,0,39,18,6,6,201,183
2450215,3,0,6,3,3,3,0,3,0,3,3,0,3,27,27
2450216,3,0,21,21,21,18,21,33,0,24,12,6,6,186,174
2450217,3,0,21,18,27,21,9,30,0,39,9,9,6,192,183
2450218,3,0,6,18,18,6,9,15,0,27,6,6,6,117,111
2450219,3,0,3,6,3,3,3,3,0,6,6,3,0,33,27
