meshblock_id,census_year_id,family_trust,not_elsewhere_included,not_owned,owned,total,total_stated
51507,1,0,0,3,6,12,9
51508,1,0,0,0,0,0,0
51601,1,0,3,3,18,24,21
51602,1,0,0,0,0,3,0
51700,1,0,3,3,12,18,15
51800,1,0,0,0,9,12,12
51900,1,0,0,0,0,6,0
52001,1,0,3,3,9,12,12
52002,1,0,0,3,6,9,9
52100,1,0,3,3,12,12,12
52200,1,0,0,0,0,0,0
52300,1,0,0,6,21,27,27
52400,1,0,0,0,0,3,0
52501,1,0,0,0,0,3,0
52502,1,0,0,0,0,6,6
52600,1,0,0,0,0,3,0
52700,1,0,0,3,12,18,18
52800,1,0,3,9,6,18,15
52902,1,0,3,6,24,30,30
52903,1,0,0,9,12,21,21
52904,1,0,0,6,21,27,27
52905,1,0,0,6,12,18,18
